id,full_name,email,phone,address,signup_date,name,gender,age
1,Kara Kim,kara.kim1924@yahoo.com,804-681-7662,"8971 Pine Ave, Greenville, TX 76366",2022-03-13,Elena,Female,60
2, Kelly Peterson ,,(467) 700-2147,"7619 Cedar Ln, Madison, CA 32004",10/04/2019,Bob,Female,50
3, Henry Martin ,henry.martin0365@mail.com,(378) 615-9326,"785 Elm St, Centerville, FL 70040",01/11/2019,Carlos,Male,36
4, Walter Evans ,walter.evans9757@hotmail.com,406-811-1412,"9383 Elm St, Springfield, TX 27467",09/22/2021,Diana,Female,64
5,William Anderson,william.anderson8799@gmail.com,260-206-8340,"615 Sunset Blvd, Riverside, IL 02711",11/15/2020,George,Female,29
6,Uma White,uma.white7642@outlook.com,,"8610 Main St, Georgetown, FL 58933",2023-10-23,George,Female,42
7, Robert Mendoza ,robert.mendoza4800@mail.com,(899) 966-2474,"9463 Pine Ave, Springfield, NY 56086",2021-02-14,Carlos,Male,60
8,,jocelyn.gonzalez2832@aol.com,(636) 456-9660,"8527 Maple Dr, Apt 36, Georgetown, TX 33157",2023-11-05,Bob,Female,40
9,Erin Young,erin.young0057@aol.com,705.658.9746," 1475 Lakeview Dr, Springfield, IL 13494 ",2023-03-20,Hannah,Female,44
10,Ursula Price,ursula.price8048@gmail.com,,"5557 Lakeview Dr, Apt 59, Franklin, NY 75924",24-09-2019,Alice,Female,32
11,Zoey Nelson,zoey.nelson2543@mail.com,+1 (930) 558-5510,"1701 Maple Dr, Apt 30, Franklin, IL 22547",2019-05-18,Alice,Female,32
12, Zoey Jackson ,zoey.jackson9422@mail.com,536-963-5601,"6964 Hillcrest Ave, Riverside, IL 09793",12/21/2023,George,Female,45
13,Nina Rivera,nina.rivera6765@protonmail.com,(924) 491-1922,"4270 Lakeview Dr, Greenville, NY 52490",10/31/2020,Carlos,Male,57
14,Dave Stewart,dave.stewart4181@hotmail.com,748-557-2589,"5469 Oak St, Apt 87, Clinton, IL 77226",2020-10-06,Carlos,Male,61
15,Riley Kim,riley.kim0733@mail.com,,"9521 Elm St, Centerville, CA 72639",12/19/2021,George,Female,45
16, Hank Hernandez ,hank.hernandez7411@gmail.com,,"6564 Hillcrest Ave, Clinton, CA 47053",02/04/2023,Elena,Female,24
17,Holly Hall,holly.hall6737@hotmail.com,(556) 275-2181,"3804 Cedar Ln, Apt 89, Fairview, FL 08754",16-01-2022,Elena,Female,43
18,Delilah Walker,delilah.walker0803@outlook.com,974-820-9780,"5546 Sunset Blvd, Georgetown, IL 12630",01/01/2022,Elena,Female,23
19,George Peterson,george.peterson6342@outlook.com,(876) 306-2155,"2498 Sunset Blvd, Centerville, TX 76015",28-02-2023,Elena,Female,45
20, Tyler Murphy ,,(738) 219-1908," 4377 Sunset Blvd, Franklin, IL 58991 ",05/28/2023,Alice,Female,51
21, Ray Patel ,ray.patel9808@outlook.com,+1 (468) 471-7169,"4171 Hillcrest Ave, Georgetown, IL 64939",11/05/2022,Bob,Female,59
22, Liam Robinson ,liam.robinson5944@gmail.com,594-944-2542,"756 Sunset Blvd, Arlington, CA 53286",2022-01-24,Hannah,Male,23
23,,sara.ramirez1001@gmail.com,887-858-5862,"2381 Elm St, Greenville, CA 76684",10/27/2023,Carlos,Male,42
24, Ulysses Turner ,ulysses.turner4443@aol.com,(801) 834-7411," 1897 Lakeview Dr, Greenville, CA 59241 ",2019-01-27,Elena,Female,54
25,Riley Howard,riley.howard8272@aol.com,+1 (970) 822-1022,"6815 Maple Dr, Greenville, FL 75154",05/13/2022,Frank,Female,33
26,Jocelyn Morris,jocelyn.morris0989@outlook.com,705.838.1831,"780 Main St, Apt 44, Georgetown, FL 16917",12-06-2022,Diana,Female,43
27,Violet Edwards,violet.edwards4484@outlook.com,646-650-2238,"101 Elm St, Arlington, IL 44421",2019-11-08,Diana,Female,46
28,,kevin.brown0651@gmail.com,257-318-5733,"1930 Maple Dr, Apt 85, Madison, NY 00084",05/26/2023,George,Female,48
