customer_id,purchase_date,product_category,amount,transaction_id,full_name,email,phone,address,signup_date,name,gender,age
230,2025-05-11,Clothing,181.73,1034, Adrian Robinson ,adrian.robinson3506@aol.com,No especificado," 417 Washington Blvd, Apt 34, Centerville, FL 06998 ",No especificado,Bob,Female,39
630,2025-06-19,Electronics,442.32,1020,Caleb Rodriguez,caleb.rodriguez4367@hotmail.com,+1 (572) 662-5444,"7375 Oak St, Greenville, IL 39198",2023-03-13,George,Female,45
867,2025-02-16,Home & Kitchen,263.12,1049,Zoey Lopez,zoey.lopez5536@mail.com,+1 (705) 486-9036,"3966 Pine Ave, Apt 18, Greenville, IL 25010",2022-05-07,Elena,Female,61
763,2025-02-13,Home & Kitchen,434.05,1058, Queen Clark ,queen.clark2238@hotmail.com,+1 (978) 771-6866,"1243 Washington Blvd, Arlington, TX 41545",2019-08-31,Carlos,Male,61
758,2025-04-15,Clothing,489.6,1077,Noah Clark,noah.clark7969@gmail.com,+1 (485) 419-3676,"6686 Cedar Ln, Apt 59, Franklin, NY 76676",2021-11-05,Diana,Female,52
332,No especificado,Home & Kitchen,75.58,1018,Ian Anderson,ian.anderson6686@hotmail.com,+1 (299) 894-9708,"2406 Pine Ave, Greenville, TX 69890",2021-08-02,George,Female,45
553,2025-08-27,Clothing,403.2,1048,Faith Brooks,faith.brooks0882@protonmail.com,No especificado,"3243 Hillcrest Ave, Centerville, TX 28604",2021-06-17,Hannah,Female,33
999,2025-04-14,Sports,305.51,1053,Frank Foster,frank.foster6200@protonmail.com,+1 (609) 287-1080," 7204 Elm St, Centerville, IL 00057 ",2022-09-18,Frank,Female,23
731,2025-06-15,Toys,325.0,1057,No especificado,noah.wilson8931@hotmail.com,+1 (620) 381-6006," 1107 Sunset Blvd, Arlington, NY 69886 ",2022-03-13,Alice,Female,55
349,2025-08-22,Home & Kitchen,169.43,10181,Noah Miller,noah.miller3373@mail.com,+1 (974) 875-3876,"734 Maple Dr, Arlington, NY 61104",2020-07-09,Elena,Female,47
667,2025-04-03,Sports,387.6,1095, Ursula Robinson ,ursula.robinson3252@protonmail.com,+1 (518) 428-3111," 3234 Sunset Blvd, Centerville, FL 40171 ",No especificado,Hannah,Male,46
677,2025-05-13,Electronics,466.8,1021, Zoey Ramos ,zoey.ramos5007@gmail.com,No especificado,"9202 Washington Blvd, Fairview, TX 43325",2021-04-18,Hannah,Male,27
279,2025-06-30,Home & Kitchen,127.18,1016,Daniel Sanders,daniel.sanders9400@protonmail.com,No especificado,"3637 Washington Blvd, Centerville, IL 72677",2020-07-31,Frank,Female,25
347,2025-05-05,Sports,149.65,1019,Quincy Scott,quincy.scott1870@aol.com,+1 (978) 881-4047,"1464 Washington Blvd, Madison, IL 21431",2020-11-15,Carlos,Male,50
899,2025-04-17,Clothing,233.55,1092, Riley Murphy ,riley.murphy3642@gmail.com,No especificado," 3972 Cedar Ln, Apt 96, Centerville, NY 65874 ",No especificado,Frank,Female,59
